Period (sec),RSN-6 SRSS pSa (g),RSN-266 SRSS pSa (g),RSN-461 SRSS pSa (g),RSN-4098 SRSS pSa (g),RSN-5823 SRSS pSa (g),RSN-6890 SRSS pSa (g),RSN-140 SRSS pSa (g),RSN-836 SRSS pSa (g),RSN-841 SRSS pSa (g),RSN-1454 SRSS pSa (g),RSN-5883 SRSS pSa (g),,,,,,,,,,,,,,,,,,,,,,
3.6,0.07983742,0.21350477,0.02261825,0.03101192,0.1323304,0.12181382,0.05636036,0.10906704,0.04236482,0.13778768,0.01064926,,,,,,,,,,,,,,,,,,,,,,
3.8,0.07046961,0.19289857,0.02046127,0.02737351,0.12161928,0.11444526,0.05329383,0.11055402,0.0467216,0.12848782,0.00882305,,,,,,,,,,,,,,,,,,,,,,
4,0.06212238,0.17590807,0.02154236,0.02485249,0.10868328,0.10385426,0.05962436,0.09749723,0.05380624,0.11437778,0.0093145,,,,,,,,,,,,,,,,,,,,,,
4.2,0.05486366,0.16504657,0.02132568,0.0226284,0.11015103,0.09202489,0.070163,0.08300811,0.05800976,0.10448097,0.00992907,,,,,,,,,,,,,,,,,,,,,,
4.4,0.04848024,0.17054723,0.01983125,0.02066207,0.11695168,0.08102394,0.07356147,0.07411891,0.05890595,0.10210891,0.01048483,,,,,,,,,,,,,,,,,,,,,,
4.6,0.04491472,0.17472106,0.01773791,0.0189201,0.13576252,0.07380467,0.07185463,0.06248782,0.0565639,0.09557429,0.01027367,,,,,,,,,,,,,,,,,,,,,,
4.8,0.04615086,0.1651377,0.01534703,0.01737492,0.14175573,0.06788455,0.06275894,0.05332516,0.05196085,0.08834883,0.0102094,,,,,,,,,,,,,,,,,,,,,,
5,0.05085807,0.14002358,0.01296583,0.01599862,0.14023719,0.06238341,0.05090932,0.04878834,0.0478508,0.08322619,0.01034425,,,,,,,,,,,,,,,,,,,,,,
5.5,0.0476775,0.08759935,0.0085776,0.01316529,0.11591493,0.05029317,0.0372506,0.04047497,0.03082486,0.07166745,0.01087383,,,,,,,,,,,,,,,,,,,,,,
6,0.03959911,0.05769346,0.00675618,0.01099761,0.10950756,0.0476148,0.02991325,0.03404645,0.02607778,0.0654582,0.011643,,,,,,,,,,,,,,,,,,,,,,
6.5,0.0311792,0.04690229,0.00626263,0.0093107,0.10819315,0.04627849,0.0306674,0.03579212,0.02857565,0.05582226,0.01100791,,,,,,,,,,,,,,,,,,,,,,
7,0.02766943,0.04239633,0.00622269,0.00797697,0.12082973,0.04783045,0.02844361,0.03833749,0.0307728,0.04422734,0.01212778,,,,,,,,,,,,,,,,,,,,,,
7.5,0.02352184,0.04863847,0.0061776,0.00690654,0.12538238,0.04775356,0.02136367,0.04019356,0.03202495,0.04125102,0.01369677,,,,,,,,,,,,,,,,,,,,,,
8,0.02023772,0.04970398,0.00597883,0.00603595,0.12714819,0.04518903,0.01904866,0.0402876,0.03214517,0.03731418,0.01453977,,,,,,,,,,,,,,,,,,,,,,
8.5,0.01687278,0.04559781,0.00563181,0.00531901,0.11844993,0.04067835,0.01804494,0.03650935,0.02994549,0.03353125,0.0150301,,,,,,,,,,,,,,,,,,,,,,
9,0.01376889,0.04538302,0.0051863,0.00472216,0.10605443,0.03505377,0.01652515,0.0331271,0.0260262,0.02935855,0.015377,,,,,,,,,,,,,,,,,,,,,,
9.5,0.01107111,0.04652318,0.00469829,0.00422021,0.09882405,0.03067357,0.01505351,0.03053425,0.02162253,0.02628875,0.01500164,,,,,,,,,,,,,,,,,,,,,,
10,0.00880886,0.04480075,0.00420993,0.00379414,0.08892295,0.02781513,0.01393441,0.02721952,0.01993157,0.02413542,0.01469134,,,,,,,,,,,,,,,,,,,,,,
11,0.00753655,0.03728432,0.00332226,0.00311502,0.06485785,0.02115445,0.01168413,0.02191151,0.01727824,0.02139727,0.01340061,,,,,,,,,,,,,,,,,,,,,,
12,0.00576469,0.02664335,0.00260798,0.00260339,0.05062528,0.01654969,0.00910279,0.01726574,0.0140006,0.01988713,0.01162533,,,,,,,,,,,,,,,,,,,,,,
